title,source,url,tags,ingredients,instructions,rating
Blue Cheese and Mushroom Turkey Burger,,https://www.foodista.com/recipe/3JGSVVX8/blue-cheese-and-mushroom-turkey-burger,"gluten free, dairy free",,,0
Brown Butter Twice Baked Sweet Potatoes,,https://www.pinkwhen.com/brown-butter-twice-baked-sweet-potatoes/,"lunch, main course, main dish, dinner","[{""original"": ""2 very ripe avocados, pitted and skins removed"", ""name"": ""avocados"", ""quantity"": 2.0, ""unit"": """"}, {""original"": ""2 tablespoons buttermilk"", ""name"": ""buttermilk"", ""quantity"": 2.0, ""unit"": ""tablespoons""}, {""original"": ""4 strips of bacon, cooked until crisp and chopped"", ""name"": ""bacon"", ""quantity"": 4.0, ""unit"": ""strips""}, {""original"": ""1/4 cup fresh parsley, chopped"", ""name"": ""parsley"", ""quantity"": 0.25, ""unit"": ""cup""}, {""original"": ""6 ounces goat's cheese, crumbled"", ""name"": ""goat's cheese"", ""quantity"": 6.0, ""unit"": ""ounces""}, {""original"": ""salt and black pepper"", ""name"": ""salt and pepper"", ""quantity"": 4.0, ""unit"": ""servings""}, {""original"": ""1/2 cup sour cream (plain Greek yogurt may be substituted)"", ""name"": ""cream"", ""quantity"": 0.5, ""unit"": ""cup""}, {""original"": ""4 medium sweet potatoes"", ""name"": ""sweet potatoes"", ""quantity"": 4.0, ""unit"": ""medium""}, {""original"": ""6 tablespoons unsalted butter"", ""name"": ""butter"", ""quantity"": 6.0, ""unit"": ""tablespoons""}]","1. Preheat your oven to 400 degrees F. Poke your sweet potatoes with a fork and place them directly on the rack of your oven.
2. Place a piece of foil on the rack below to reduce mess.
3. Bake the sweet potatoes for 45-50 minutes or until tender. Times may vary depending on how hot your oven gets.
4. Remove the potatoes from the oven and let stand at room temperature until they are cool enough to handle, about 20-30 minutes. Leave the oven on.While your potatoes are cooling, melt the butter over medium heat. Continue to cook the butter, stirring frequently, until brown bits begin to form on the bottom of the pan, about 5-6 minutes. Pay close attention as the butter can quickly go from brown to burnt in a matter of seconds. Once you see the brown bits forming and a nutty aroma fills the air, pull the butter from the heat immediately. Set aside.
5. Cut the tops off of the sweet potatoes, lengthwise. Scoop the sweet potato flesh into a medium bowl, leaving the skins in tact. To the bowl, add the brown butter, 2 tablespoons of the fresh parsley, 3/4 of the chopped bacon, and 4 ounces of the goats cheese.
6. Sprinkle with salt and black pepper to taste and mash the ingredients together until combined. Scoop the filling back into the sweet potatoes.
7. Place the potatoes on a baking sheet that has been lined with foil or parchment paper.
8. Place them back in the oven to bake for 25 minutes.While your potatoes are baking for a second time, prepare your avocado cream. In the bowl of your food processor or blender, combine the avocados, sour cream and buttermilk.
9. Add a dash of salt and pepper and pulse until completely smooth and creamy.Once your potatoes have baked, remove from oven.
10. Sprinkle on the remaining parsley, bacon and goats cheese.
11. Drizzle with avocado cream and serve immediately.Enjoy!I hope you enjoy this recipe for brown butter twice baked sweet potatoes!",0
Cheesy Chicken and Rice Casserole,,https://www.pinkwhen.com/cheesy-chicken-and-rice-casserole-bake/,"side dish, lunch, main course, main dish, dinner","[{""original"": ""2 grilled chicken breasts"", ""name"": ""grilled chicken breasts"", ""quantity"": 2.0, ""unit"": """"}, {""original"": ""2 cups rice (cooked)"", ""name"": ""rice"", ""quantity"": 2.0, ""unit"": ""cups""}, {""original"": ""1 8oz package cream cheese"", ""name"": ""cream cheese"", ""quantity"": 8.0, ""unit"": ""oz""}, {""original"": ""1 10oz. can cream of mushroom soup"", ""name"": ""cream of mushroom soup"", ""quantity"": 10.0, ""unit"": ""oz""}, {""original"": ""1 medium green pepper"", ""name"": ""bell pepper"", ""quantity"": 1.0, ""unit"": ""medium""}, {""original"": ""1\u00bd cup shredded Monterrey Jack cheese"", ""name"": ""monterrey jack cheese"", ""quantity"": 1.5, ""unit"": ""cup""}, {""original"": ""\u00bd red onion"", ""name"": ""onion"", ""quantity"": 0.5, ""unit"": """"}, {""original"": ""Salt and pepper to taste"", ""name"": ""salt and pepper"", ""quantity"": 6.0, ""unit"": ""servings""}, {""original"": ""2 Tbsp Country crock buttery spread"", ""name"": ""country crock buttery spread"", ""quantity"": 2.0, ""unit"": ""Tbsp""}]","1. Heat your oven to 350.Take your 2 grilled chicken breasts and allow them to slightly cool. Shred chicken breasts and place to the side in a mixing bowl.Finely chop your pepper and onion and saut in 2 Tbsp Country Crock for 5 minutes until soft.
2. Add cream cheese into the onion and pepper and mix well.
3. Pour into the large bowl with chicken.
4. Mix in rice, hot sauce, cream of mushroom soup,  cup Monterrey Jack cheese, and salt and pepper.
5. Mix well.
6. Pour mixture in a 9 x 13 dish, and cover with remaining cheese and add salt and pepper to taste.
7. Bake for 30 minutes. Allow to cool for 5 minutes before serving.",0
Cheesy Chicken Enchilada Quinoa Casserole,,https://www.pinkwhen.com/cheesy-chicken-enchilada-quinoa-casserole/,"Mexican, side dish, lunch, main course, main dish, dinner","1 small Avocado (chopped)
½ tsp black pepper
1 (15oz) can of black beans (I like the low sodium version)
1 (10oz) can of tomatoes with green chilis
½ tsp chili powder
1 cup cooked quinoa
½ tsp cumin
1 (10oz) can of verde enchilada sauce
fresh cilantro (2Tbsp and 2 tsp separated)
green onion tops (chopped)
1 Roma tomato (chopped)
salt to taste
2 cups of shredded cheese (my favorite is the Kraft Mexican 4 cheese blend and one bag equals two cups!)
1 boneless skinless chicken breast (boiled and shredded)
1 (15oz) can of sweet corn (you are only going to use half of the can)
½ tsp white pepper","1. To get started, heat your oven to 350 and prepare an 8x8 baking dish. Cook the quinoa according to the instructions. If you haven't already, boil and shred your chicken breast.In a medium sized mixing bowl add 2 Tbsp cilantro, 1 cup shredded cheese, quinoa, tomatoes with chilis, black beans, half of the can of sweet corn, verde enchilada sauce, cumin, chili powder, white pepper, black pepper, and salt to taste.
2. Mix everything well, and then pour into the 8 x8 baking dish. Cover with the last cup of cheese and then bake in the oven for 15 minutes.
3. Remove from oven and allow to cool for 5 minutes. Then top with chopped Roma tomato, chopped avocado, green onion tops, and remaining 2 tsp of cilantro.
4. Serve immediately.",0
"Chicken Avocado Burger (Whole 30, PALEO, & Simple Fit Forty)",,https://www.pinkwhen.com/chicken-avocado-burger/,"gluten free, dairy free, paleolithic, primal, whole 30, ketogenic",,,0
Chili Chicken Salad,,http://www.foodista.com/recipe/32TFG87M/chili-chicken-salad,"gluten free, dairy free, whole 30, ketogenic, GF:UNKNOWN",[],,0
chilli chicken,,https://spoonacular.com/-1424528841847,"gluten free, dairy free, GF:UNKNOWN",[],,0
Chorizo and Beef Quinoa Stuffed Pepper,,https://www.pinkwhen.com/chorizo-and-beef-quinoa-stuffed-pepper-recipe/,"lunch, main course, main dish, dinner","[{""original"": ""bell peppers"", ""name"": ""bell peppers"", ""quantity"": 4.0, ""unit"": ""servings""}, {""original"": ""\u00bd tsp cayenne"", ""name"": ""cayenne"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""original"": ""\u00bc tsp chili powder"", ""name"": ""chili powder"", ""quantity"": 0.25, ""unit"": ""tsp""}, {""original"": ""1 pound chorizo"", ""name"": ""chorizo"", ""quantity"": 1.0, ""unit"": ""pound""}, {""original"": ""\u00bc tsp cumin"", ""name"": ""cumin"", ""quantity"": 0.25, ""unit"": ""tsp""}, {""original"": ""green onion tops"", ""name"": ""green onion tops"", ""quantity"": 4.0, ""unit"": ""servings""}, {""original"": ""\u00bc cup mixed monterrey jack and cheddar cheese"", ""name"": ""monterrey jack and cheddar cheese"", ""quantity"": 0.25, ""unit"": ""cup""}, {""original"": ""1 pound lean ground beef"", ""name"": ""ground beef"", ""quantity"": 1.0, ""unit"": ""pound""}, {""original"": ""1 cup quinoa"", ""name"": ""quinoa"", ""quantity"": 1.0, ""unit"": ""cup""}]","1. The first thing you will want to do is heat the oven to 350, boil the water for the quinoa, and in a separate skillet brown the beef and chorizo together.
2. Drain the meat mixture well, and then place into a medium mixing bowl.Once your quinoa is fully cooked, add it to the mixing bowl.
3. Add the green onion tops, cumin, cayenne, chili powder, and monterrey jack and cheddar cheese.
4. Mix well.
5. Cut the tops from your bell peppers and scoop out any remaining seeds.Then take your meat mixture and start stuffing the bell peppers until they are full.
6. Sprinkle with a little cheese and then bake in the oven for about 10 minutes until the bell pepper has softened.
7. Serve immediately.",0
Easy Slow Cooker Chicken Tortilla Soup,,https://www.pinkwhen.com/chicken-tortilla-soup-slow-cooker/,"lunch, soup, main course, main dish, dinner","[{""original"": ""2 pounds chicken breast"", ""name"": ""chicken breast"", ""quantity"": 2.0, ""unit"": ""pounds""}, {""original"": ""1 medium onion (finely chopped)"", ""name"": ""onion"", ""quantity"": 1.0, ""unit"": ""medium""}, {""original"": ""2 teaspoon chili powder"", ""name"": ""chili powder"", ""quantity"": 2.0, ""unit"": ""teaspoon""}, {""original"": ""28 ounces crushed tomatoes"", ""name"": ""tomatoes"", ""quantity"": 28.0, ""unit"": ""ounces""}, {""original"": ""24 ounces chicken broth"", ""name"": ""chicken broth"", ""quantity"": 24.0, ""unit"": ""ounces""}, {""original"": ""15 ounces kernel corn (drained)"", ""name"": ""kernel corn"", ""quantity"": 15.0, ""unit"": ""ounces""}, {""original"": ""4 ounces green chilis (diced)"", ""name"": ""chilis"", ""quantity"": 4.0, ""unit"": ""ounces""}, {""original"": ""15 ounces black beans (drained)"", ""name"": ""black beans"", ""quantity"": 15.0, ""unit"": ""ounces""}, {""original"": ""1/4 cup cilantro (freshly chopped)"", ""name"": ""cilantro"", ""quantity"": 0.25, ""unit"": ""cup""}]","1. Add all of your ingredients into the slow cooker and then cook on low for 6 hours.
2. Once finished cooking, scoop into serving bowls and serve with tortilla chips, sour cream, cheese, avocado, or any of your favorite toppings.",0
Enchiladas Recipe,,https://healthline-store.com/gluten-free-enchiladas-recipe,,"FOR THE RED SAUCE:
1 medium onion
1 jalapeño
1 tablespoon oil
3 medium cloves garlic
2 tablespoons chili powder
1 tablespoon brown sugar
2 teaspoons ground cumin
½ teaspoon oregano
½ teaspoon salt
15 oz can tomato sauce
1 cup chicken or vegetable stock
FOR THE CHICKEN FILLING:
We'll need 1- 1 1/2 pounds of boneless, skinless chicken breasts
1 1/2 cups (6 ounces) sharp cheddar
1 1/2 cups Monterey jack cheese
1/2 cup fresh cilantro
1 lime
12 6-inch soft corn tortillas","Add the onion, jalapeno and oil in a large saucepan.
Then cook on medium heat for 8 to 10 minutes until the vegetables have softened.
Stir in the garlic, chili powder, cumin, oregano, sugar and salt and cook for 30 seconds to 1 minute until fragrant.
Then add chicken stock and tomato sauce and stir to combine.
Nestle in the chicken.
Bring the mixture to a simmer.
Lower the heat and simmer for approximately 15 minutes.
Then take out the chicken and place it in a bowl.
If necessary season the sauce with a touch more salt and set aside.

MAKE THE FILLING:
Preheat the oven to 400F.
Lightly grease a 9×13 baking dish.
Shred the chicken into bite-sized pieces.
Then add 1 cup of the sharp cheddar cheese and 1 cup of the Monterey jack cheese, the cilantro and the juice of 1 lime to the chicken.
Mix to combine. (Keep the rest of the cheese aside to cover the enchiladas.)
Stack the tortillas on a plate and cover them with plastic wrap or damp paper towels.
Microwave on high until warm and pliable, 20 to 30 seconds.
Scoop about 1/3 cup of the chicken mixture on the top of a tortilla and press it evenly down the middle.
Roll each tortilla tightly and place it seam-side down in the baking dish.
Repeat with the remaining tortillas.
Then pour the sauce over the enchiladas and top with the remaining cheese.
Cover the baking dish tightly with foil.
Bake covered for 20 to 25 minutes.
Remove the foil and continue to bake for another 5 to 10 minutes until golden and bubbly.
Remove from the oven and let stand for 10 minutes before serving.
Serve with your favorite toppings and enjoy!",0
Enchiladas Recipe 2,,https://healthline-store.com/gluten-free-enchiladas-recipe,,"FOR THE RED SAUCE:
1 medium onion
1 jalapeño
1 tablespoon oil
3 medium cloves garlic
2 tablespoons chili powder
1 tablespoon brown sugar
2 teaspoons ground cumin
½ teaspoon oregano
½ teaspoon salt
15 oz can tomato sauce
1 cup chicken or vegetable stock
FOR THE CHICKEN FILLING:
We'll need 1- 1 1/2 pounds of boneless, skinless chicken breasts
1 1/2 cups (6 ounces) sharp cheddar
1 1/2 cups Monterey jack cheese
1/2 cup fresh cilantro
1 lime
12 6-inch soft corn tortillas","Add the onion, jalapeno and oil in a large saucepan.
Then cook on medium heat for 8 to 10 minutes until the vegetables have softened.
Stir in the garlic, chili powder, cumin, oregano, sugar and salt and cook for 30 seconds to 1 minute until fragrant.
Then add chicken stock and tomato sauce and stir to combine.
Nestle in the chicken.
Bring the mixture to a simmer.
Lower the heat and simmer for approximately 15 minutes.
Then take out the chicken and place it in a bowl.
If necessary season the sauce with a touch more salt and set aside.
MAKE THE FILLING:

Preheat the oven to 400F.
Lightly grease a 9×13 baking dish.
Shred the chicken into bite-sized pieces.
Then add 1 cup of the sharp cheddar cheese and 1 cup of the Monterey jack cheese, the cilantro and the juice of 1 lime to the chicken.
Mix to combine. (Keep the rest of the cheese aside to cover the enchiladas.)
Stack the tortillas on a plate and cover them with plastic wrap or damp paper towels.
Microwave on high until warm and pliable, 20 to 30 seconds.
Scoop about 1/3 cup of the chicken mixture on the top of a tortilla and press it evenly down the middle.
Roll each tortilla tightly and place it seam-side down in the baking dish.
Repeat with the remaining tortillas.
Then pour the sauce over the enchiladas and top with the remaining cheese.
Cover the baking dish tightly with foil.
Bake covered for 20 to 25 minutes.
Remove the foil and continue to bake for another 5 to 10 minutes until golden and bubbly.
Remove from the oven and let stand for 10 minutes before serving.
Serve with your favorite toppings and enjoy!",0
Greek Lemon Potatoes,,,,"2.6 lb potatoes
¼ cup olive oil
½ cup lemon juice
1 cup broth - vegetable/chicken
1 tablespoon lemon zest
8 garlic cloves - peeled and thickly sliced
½ tablespoon dried oregano
1 teaspoon salt","Preheat oven to 340ºF/170ºC.
Cut the potatoes into chunks. (I don't peel them)
Pour the olive oil, lemon juice, chicken stock, lemon zest, sliced garlic cloves, oregano and salt into a rimmed baking sheet and mix well to combine.
Add the potatoes into the mixture and mix gently.
Cover the roasting tin with foil and roast the potatoes for 70 minutes then remove from the oven, remove the foil and gently turn them.
Return to the oven uncovered for a further 10 minutes.
The potatoes should be soft and lightly golden and most of the liquid will have evaporated.",0
